prod_id,cat_id
MPE439707988,MPE74130
MPE439509473,MPE74130
MPE438347363,MPE74130
MPE439707960,MPE74130
MPE438075800,MPE74130
MPE436607290,MPE74130
MPE435651107,MPE74130
MPE435821661,MPE74130
MPE439707931,MPE74130
MPE428800058,MPE74130
MPE436413536,MPE74130
MPE438874245,MPE74130
MPE438796568,MPE74130
MPE435088136,MPE74130
MPE436129393,MPE74130
MPE439336239,MPE74130
MPE437452451,MPE74130
MPE436607593,MPE74130
MPE440296218,MPE74130
MPE440296172,MPE74130
MPE439707936,MPE74130
MPE422140424,MPE74130
MPE439697986,MPE74130
MPE433092000,MPE74130
MPE439708001,MPE74130
MPE435238456,MPE74130
MPE426902922,MPE442344
MPE439241543,MPE442344
MPE424473403,MPE442344
MPE430962882,MPE442344
MPE438965423,MPE442344
MPE434703899,MPE442344
MPE425453567,MPE442344
MPE434999339,MPE442344
MPE425470731,MPE442344
MPE435876455,MPE442344
MPE439413603,MPE442344
MPE426149956,MPE442344
MPE426208237,MPE442344
MPE433099735,MPE442344
MPE427392707,MPE442344
MPE438781699,MPE442344
MPE438089789,MPE442344
MPE428956829,MPE442344
MPE429673049,MPE442344
MPE436780328,MPE442344
MPE432485354,MPE442344
MPE432183341,MPE442344
MPE439221294,MPE442344
MPE426453299,MPE442344
MPE440079279,MPE442344
MPE440497807,MPE442344
MPE426583699,MPE442344
MPE437311753,MPE442344
MPE434605250,MPE442344
MPE436894603,MPE442344
MPE437833587,MPE442344
MPE439375790,MPE442344
MPE438752433,MPE442344
MPE439921763,MPE442344
MPE434699605,MPE442344
MPE433049094,MPE442344
MPE437892392,MPE442344
MPE440713010,MPE442344
MPE423326133,MPE442344
MPE436547144,MPE442344
MPE439664999,MPE442344
MPE425944179,MPE442344
MPE426583975,MPE442344
MPE436283581,MPE442344
MPE429957510,MPE442344
MPE430157451,MPE442344
MPE430156876,MPE442344
MPE437833595,MPE442344
MPE430812191,MPE442344
MPE427485257,MPE442344
MPE440630347,MPE432080
MPE440335366,MPE444526
MPE430327966,MPE444526
MPE437256281,MPE444526
MPE430327964,MPE444526
MPE440438027,MPE444526
MPE440438059,MPE444526
MPE440613392,MPE444526
MPE436759834,MPE442343
MPE433161943,MPE442343
MPE433175894,MPE442343
MPE440342139,MPE442343
MPE440046633,MPE442343
MPE440042244,MPE442343
MPE440041799,MPE442343
MPE438582095,MPE442343
MPE440342409,MPE442343
MPE440075482,MPE442343
MPE434803598,MPE442343
MPE437942055,MPE442343
MPE440342362,MPE442343
MPE440211626,MPE442343
MPE440726921,MPE442343
MPE440485036,MPE442343
MPE440351160,MPE442343
MPE440632103,MPE442343
MPE440727212,MPE442343
MPE440342084,MPE442343
MPE440507874,MPE442343
MPE440367976,MPE442343
MPE440141917,MPE442343
MPE440601935,MPE442343
MPE440024644,MPE442343
MPE440093599,MPE442343
MPE440341020,MPE442343
MPE440841400,MPE442343
MPE440859478,MPE442343
MPE440197836,MPE442343
MPE440093218,MPE442343
MPE440485095,MPE442343
MPE440099032,MPE442343
MPE440462826,MPE442343
MPE440699042,MPE442343
MPE440026237,MPE442343
MPE440417246,MPE442343
MPE440417399,MPE442343
MPE440196064,MPE442343
MPE440462778,MPE442343
MPE440613029,MPE442343
MPE440698759,MPE442343
MPE440092729,MPE442343
MPE440093548,MPE442343
MPE440613398,MPE442343
MPE440821275,MPE442343
MPE440485065,MPE442343
MPE440666731,MPE442343
MPE440821299,MPE442343
MPE440666751,MPE442343
MPE440406832,MPE8383
MPE435183936,MPE8383
MPE440162613,MPE8383
MPE437186292,MPE8383
MPE439614725,MPE8383
MPE426466616,MPE8383
MPE439995635,MPE8383
MPE439817002,MPE8383
MPE435525309,MPE8383
MPE439766156,MPE8383
MPE432717110,MPE8383
MPE439478673,MPE8383
MPE431973329,MPE8383
MPE423676021,MPE8383
MPE434443995,MPE8383
MPE440525425,MPE8383
MPE438522471,MPE8383
MPE432985673,MPE8383
MPE438831957,MPE8383
MPE429065669,MPE8383
MPE437241633,MPE8383
MPE440083801,MPE8383
MPE432675165,MPE8383
MPE436802295,MPE8383
MPE437408887,MPE8383
MPE440291489,MPE8383
MPE435525282,MPE8383
MPE429635468,MPE8383
MPE439794507,MPE8383
MPE440727338,MPE8383
MPE435895984,MPE8383
MPE440364103,MPE8383
MPE429635244,MPE8383
MPE439925458,MPE8383
MPE428311497,MPE8383
MPE438680505,MPE8383
MPE431197959,MPE8383
MPE438700367,MPE8383
MPE438985428,MPE8383
MPE437813754,MPE8383
MPE431473910,MPE8383
MPE429226158,MPE8383
MPE440173631,MPE8383
MPE440061885,MPE8383
MPE426614030,MPE8383
MPE437871788,MPE8383
MPE431913580,MPE8383
MPE440431793,MPE8383
MPE437484941,MPE8383
MPE438931818,MPE8383
MPE430828762,MPE410883
MPE436444577,MPE410883
MPE440399378,MPE410883
MPE436439797,MPE410883
MPE439458507,MPE410883
MPE440253502,MPE410883
MPE440533787,MPE410883
MPE425894488,MPE410883
MPE436905982,MPE410883
MPE439521117,MPE410883
MPE439584969,MPE410883
MPE427735219,MPE410883
